#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-08-01,33,28,14,24,33,28,1.1,68,9.75,1018,25.875,35,20,28,113,116,200
2017-08-02,32,27,7,22,30,30,3.2,74,9.875,1020,26.625,34,21,27,176,113,113
2017-08-03,31,25,17,23,29,28,2.6,84,8.75,1017,34.75,34,22,25,176,293,113
2017-08-04,25,23,16,23,25,23,0,65,10,1018,31.25,27,20,23,116,113,116
2017-08-05,27,24,22,21,27,24,0.7,66,10,1019,44,29,20,24,116,119,113
2017-08-06,26,21,8,16,25,23,0,67,10,1023,3.875,26,14,21,113,113,116
2017-08-07,29,24,12,19,27,28,0,61,10,1022,3.5,30,16,24,113,113,113
2017-08-08,24,22,11,18,24,22,10.6,79,9.25,1013,38.625,26,20,22,113,296,299
2017-08-09,25,21,8,16,25,23,0.9,65,9.25,1018,26.625,26,15,21,113,116,116
2017-08-10,17,14,10,12,17,15,17.8,91,7.625,1021,72.875,18,15,14,296,299,266
2017-08-11,20,15,9,14,17,18,5.4,84,8.625,1020,64.625,20,15,15,116,176,353
2017-08-12,21,17,17,13,21,17,1.2,76,7.5,1021,74.5,23,14,17,263,116,119
2017-08-13,26,18,8,17,22,23,0.9,84,7.625,1021,59,27,18,18,266,176,116
2017-08-14,29,23,5,18,28,28,0,74,10,1021,20.5,31,19,23,116,116,113
2017-08-15,31,25,13,21,30,29,3.2,70,9.625,1020,18.375,33,20,25,113,113,200
2017-08-16,28,25,5,20,28,25,1.5,75,9.875,1022,31,30,20,25,116,116,113
2017-08-17,30,25,13,20,28,29,0.1,70,10,1021,8.5,32,19,25,113,113,113
2017-08-18,28,20,26,21,28,20,6.4,84,9.375,1019,44.125,30,19,20,116,113,296
2017-08-19,23,20,12,16,22,20,3.2,75,9.75,1023,29,25,15,20,176,353,113
2017-08-20,23,18,12,14,22,21,0.2,67,10,1026,33,25,12,18,119,176,113
2017-08-21,26,18,3,13,23,24,0,65,10,1026,9.625,26,12,18,113,116,113
2017-08-22,29,22,6,16,26,28,0,64,10,1023,2.5,31,18,22,113,113,113
2017-08-23,32,23,6,18,29,30,0,63,10,1018,1.25,33,17,23,113,113,113
2017-08-24,29,24,9,20,28,28,2.2,73,9.875,1018,13.125,30,19,24,176,116,113
2017-08-25,32,25,8,20,30,31,4.5,70,9.375,1018,7.75,35,19,25,113,356,113
2017-08-26,32,25,9,21,30,30,0.2,63,9.875,1017,1.25,34,20,25,113,113,113
2017-08-27,32,26,7,22,30,29,3.8,70,9.75,1018,20.125,34,20,26,116,176,113
2017-08-28,31,25,9,21,29,30,0.5,72,10,1019,0.25,33,20,25,113,113,113
2017-08-29,33,26,5,21,30,31,0,67,10,1018,0,35,19,26,113,113,113
2017-08-30,32,26,17,22,30,30,2,65,17.25,1014,17.375,34,20,26,113,176,116
2017-08-31,23,17,15,20,19,17,9.5,89,11.875,1022,69.125,24,19,17,293,302,116
