#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-01-01,7,2,6,1,7,4,0,88,10,1028,11.875,10,5,5,113,113,113
2016-01-02,6,4,11,3,5,6,5.2,88,8.625,1019,78.875,7,5,4,296,296,119
2016-01-03,7,4,15,3,7,4,0.7,88,9,1014,59.875,8,4,3,116,116,122
2016-01-04,8,6,14,6,7,4,8.2,84,7.875,999,60,9,5,3,176,266,176
2016-01-05,7,4,16,2,7,6,6.3,84,8.5,998,74.5,8,4,2,176,389,296
2016-01-06,6,4,13,3,6,5,6.5,86,7.75,1004,76.5,7,4,3,263,296,266
2016-01-07,7,4,20,3,5,5,4.9,84,9.5,1003,61.125,8,4,1,116,296,176
2016-01-08,7,1,10,1,7,6,0.3,81,10,1011,53.125,9,5,6,116,116,176
2016-01-09,10,6,9,6,9,8,1.5,91,9.875,1004,71.875,10,7,7,119,119,119
2016-01-10,9,6,16,6,9,6,22.5,84,8.625,1001,75,11,6,5,296,176,308
2016-01-11,8,4,18,4,7,6,16.3,93,7.625,998,79.375,10,7,5,302,389,353
2016-01-12,7,6,24,5,7,5,3.9,82,9.875,1007,68.625,9,4,3,176,353,353
2016-01-13,5,4,28,4,5,2,2.8,80,7,1022,69.5,7,3,0,266,353,182
2016-01-14,6,0,16,-2,6,3,0.9,70,9.875,1020,30.875,6,1,0,113,119,293
2016-01-15,3,1,30,0,3,1,6.6,75,6,1016,87.875,4,1,-5,227,227,338
2016-01-16,3,0,9,0,3,0,2.5,92,8.75,1026,80.75,2,0,-3,326,116,332
2016-01-17,1,0,18,-2,1,-3,1.2,85,9.375,1028,66,2,0,-3,332,113,119
2016-01-18,-2,-6,9,-7,-3,-5,0,84,10,1027,44.5,0,0,-9,116,119,113
2016-01-19,0,-2,4,-3,0,-5,0,81,10,1018,80.125,1,0,-1,116,119,122
2016-01-20,1,-2,5,-3,1,-3,0,91,10,1024,22.75,2,0,-1,116,113,113
2016-01-21,1,-4,9,-7,-1,-3,0,90,9,1031,10.5,3,0,-4,113,113,113
2016-01-22,4,-5,7,-6,2,1,0.9,74,9.875,1031,27.75,2,0,-5,113,113,119
2016-01-23,7,3,7,4,7,3,3.6,98,6.5,1038,67.875,4,4,1,143,248,113
2016-01-24,5,0,9,-1,3,3,2.4,77,7.875,1039,63.125,5,1,2,116,266,296
2016-01-25,9,1,4,0,8,4,0,61,10,1033,6.375,10,3,5,113,113,113
2016-01-26,11,5,9,3,10,7,0,83,10,1031,12.875,13,8,5,113,113,113
2016-01-27,11,7,17,6,11,8,0,85,10,1027,46.625,13,9,7,116,116,113
2016-01-28,9,7,11,9,7,7,6.4,94,7.375,1031,91.25,10,9,6,176,302,266
2016-01-29,9,3,6,3,7,5,1.5,86,9.875,1034,17,10,6,2,113,113,113
2016-01-30,8,5,31,4,8,6,5.1,79,9.625,1029,63.75,11,5,3,113,122,296
2016-01-31,6,5,13,4,5,4,5.1,88,7.625,1019,90.375,9,9,5,176,296,296
