#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-10-01,18,16,15,13,18,16,11.7,87,7.875,1014,70.25,17,15,14,293,302,176
2016-10-02,17,13,14,11,16,15,0.2,78,10,1020,37.75,17,11,14,119,113,116
2016-10-03,18,11,12,9,16,16,0,78,10,1028,46.375,17,9,10,116,113,116
2016-10-04,16,8,21,7,14,14,0.1,83,8,1030,22.875,16,10,8,143,113,116
2016-10-05,14,10,21,7,13,12,0,71,10,1029,1.875,14,7,7,113,113,113
2016-10-06,13,8,18,5,12,11,0,79,8.375,1025,53.75,14,8,7,143,119,116
2016-10-07,14,11,14,9,13,12,0.2,83,6.25,1020,69.75,15,9,10,248,119,116
2016-10-08,13,9,12,7,12,11,0.1,81,8,1023,39.75,14,7,8,143,119,113
2016-10-09,14,7,10,4,11,12,0.1,81,8,1024,20.25,14,7,6,143,116,176
2016-10-10,13,5,11,3,10,9,0,73,10,1026,13.625,14,5,7,113,113,113
2016-10-11,12,5,15,2,10,11,0,75,10,1022,25.125,13,4,5,113,113,116
2016-10-12,12,4,14,2,8,11,0,79,7,1020,17.75,12,4,3,143,113,113
2016-10-13,14,7,13,2,10,12,0,74,8,1016,36.5,14,6,5,143,119,113
2016-10-14,18,11,7,7,17,16,0.9,77,9,1009,40.5,18,10,11,176,113,116
2016-10-15,16,12,6,10,15,14,0.5,80,9,1019,41.5,19,11,14,266,116,113
2016-10-16,15,7,5,6,12,14,0,74,10,1023,37.25,24,12,14,116,113,113
2016-10-17,17,13,10,10,17,14,6.1,82,8.625,1023,63.5,17,14,15,176,266,302
2016-10-18,15,12,8,10,14,13,3.3,86,7.125,1024,65.625,16,12,13,143,263,116
2016-10-19,13,11,18,9,13,11,1.4,81,9.75,1022,46.625,13,8,8,116,116,113
2016-10-20,11,9,13,8,10,10,6.9,82,8.625,1018,84,12,7,8,176,176,266
2016-10-21,9,8,10,9,9,8,6.9,82,9.25,1018,80.375,10,7,8,176,176,116
2016-10-22,13,7,9,5,11,11,0,76,10,1018,23.625,14,6,7,116,116,113
2016-10-23,8,4,7,2,5,8,5.4,69,9.625,1016,67.75,14,8,8,122,116,296
2016-10-24,15,10,8,7,13,14,3.2,75,9.75,1016,59.375,18,12,12,353,116,353
2016-10-25,15,11,8,11,13,13,13.1,92,8.25,1026,77.875,16,12,13,266,176,116
2016-10-26,14,8,9,8,12,12,0,88,7,1031,26.125,17,12,8,143,116,113
2016-10-27,14,8,2,5,12,11,0,82,8,1036,5.875,16,10,11,143,113,113
2016-10-28,13,5,4,4,11,11,0,82,10,1037,14.25,16,10,10,113,113,113
2016-10-29,14,7,10,6,12,13,0,85,8.375,1037,15.625,16,11,10,143,113,113
2016-10-30,12,6,14,5,10,10,0,86,6.625,1032,13.375,15,9,9,143,113,113
2016-10-31,13,7,11,5,11,11,0,80,10,1030,6,15,8,8,113,113,113
