#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-03-01,8,2,12,1,6,5,1.8,65,9.875,1024,69.875,7,0,0,113,119,176
2016-03-02,7,4,23,6,7,4,7.3,83,7.875,1014,63.125,9,6,-1,176,296,176
2016-03-03,5,3,23,2,5,3,3.5,82,8.5,1012,53.875,7,3,-2,176,389,176
2016-03-04,5,4,16,0,4,5,8.3,92,8.125,1012,74,5,4,0,119,302,302
2016-03-05,8,5,15,5,8,5,8.7,85,6.375,998,85,8,5,3,302,266,176
2016-03-06,6,3,14,3,6,3,7.1,85,7.125,1004,92.75,5,3,-1,329,317,317
2016-03-07,4,1,18,-1,4,2,2.8,86,5.875,1007,76.25,6,1,-1,116,317,338
2016-03-08,6,2,12,-1,6,2,0.3,89,9.375,1020,36.75,6,2,2,116,116,113
2016-03-09,8,1,8,-3,6,5,0,76,10,1019,27.25,8,0,1,113,113,119
2016-03-10,9,4,12,-2,8,5,0,76,10,1022,22,10,2,2,116,113,113
2016-03-11,9,3,20,0,8,5,0,80,10,1027,36.75,10,3,1,113,119,116
2016-03-12,8,3,21,-1,7,5,0,79,10,1029,21.125,9,2,1,113,116,116
2016-03-13,9,4,27,2,8,7,0.1,79,10,1030,62.5,9,3,2,116,119,119
2016-03-14,9,5,22,1,8,6,0,71,10,1030,23.875,11,2,1,116,113,113
2016-03-15,8,3,17,-1,8,4,0.4,89,8.375,1028,55.625,10,3,0,116,122,263
2016-03-16,9,4,30,0,8,6,0.1,78,10,1024,30.75,9,2,-2,116,119,113
2016-03-17,11,3,15,-1,8,7,0,78,9,1027,9.375,13,4,4,116,113,113
2016-03-18,12,6,8,1,10,8,0,79,10,1024,1.75,17,6,7,113,113,113
2016-03-19,11,5,14,1,10,8,0,85,10,1021,5.25,13,6,4,113,113,113
2016-03-20,11,5,9,0,9,8,0,83,10,1020,9.375,12,4,2,113,113,113
2016-03-21,9,6,8,2,9,8,0.2,77,10,1019,24.5,11,4,4,116,116,116
2016-03-22,10,5,23,2,10,5,0,78,10,1017,34.625,10,3,3,116,113,113
2016-03-23,10,7,17,5,10,8,0.6,78,10,1013,76.125,11,5,4,122,353,116
2016-03-24,10,7,3,5,9,9,0,72,10,1018,60.5,11,3,7,113,116,119
2016-03-25,9,7,16,6,9,7,7.5,88,6.375,1018,97.375,10,8,5,266,296,266
2016-03-26,13,8,15,6,11,10,0.1,77,7,1021,35.875,17,8,9,143,113,113
2016-03-27,13,9,24,9,11,9,3.2,87,7.875,1016,48.75,12,7,6,266,266,116
2016-03-28,14,10,27,4,13,13,4.4,76,8.625,1013,40,15,8,7,116,293,353
2016-03-29,14,10,23,6,13,11,1.3,69,9.75,1014,42.875,13,5,8,113,353,176
2016-03-30,13,10,8,9,13,11,10.1,93,9.375,1013,84.625,16,11,10,176,302,293
2016-03-31,17,12,14,6,16,14,4.6,84,9.375,1011,45.25,24,10,12,116,119,116
