#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-05-01,14,10,16,10,11,13,2.9,72,6,1016,76.375,15,6,10,266,266,353
2017-05-02,16,5,9,5,12,16,1,84,9.75,1017,22.5,16,6,4,176,116,176
2017-05-03,13,5,9,6,13,11,3.6,86,9.625,1019,39.75,14,7,5,116,119,176
2017-05-04,15,6,5,6,12,15,1.8,90,7.5,1017,63,16,8,7,248,122,353
2017-05-05,17,7,12,7,14,17,0.3,88,8.75,1020,29.875,18,8,8,248,119,113
2017-05-06,17,7,13,7,15,16,1,87,7.375,1015,56.125,18,11,7,143,116,176
2017-05-07,15,10,13,10,13,15,6.5,91,3.75,1015,96,15,11,11,266,266,266
2017-05-08,14,10,18,10,12,13,2.4,88,6.875,1020,92,15,11,11,143,266,353
2017-05-09,14,7,14,7,11,14,0.4,84,9,1021,25.75,14,6,6,143,113,176
2017-05-10,18,3,6,3,15,18,0,84,10,1015,0,19,7,3,113,113,113
2017-05-11,20,11,8,11,19,19,2.4,82,9.375,1005,46.625,21,12,12,176,113,353
2017-05-12,20,12,9,12,18,19,7.5,90,9.375,1006,47.625,21,12,12,353,353,386
2017-05-13,19,12,13,12,18,17,5.7,88,9.125,1015,37.25,20,12,13,176,176,176
2017-05-14,18,12,11,12,18,16,11.1,95,9.25,1025,43,19,13,13,353,116,176
2017-05-15,20,12,8,12,18,18,3,93,9.625,1030,10.125,20,12,12,176,113,113
2017-05-16,23,10,9,10,20,21,0,87,10,1030,0,23,12,11,113,113,113
2017-05-17,25,13,8,13,22,23,0,86,10,1026,7.625,26,14,13,113,116,113
2017-05-18,22,16,13,16,22,21,0.8,79,9.25,1014,34.625,22,14,17,113,176,263
2017-05-19,17,6,15,15,13,10,26.6,87,6.625,1017,80,18,14,6,356,308,293
2017-05-20,16,8,12,8,15,16,0.6,89,9.875,1024,32,17,9,7,116,176,176
2017-05-21,20,8,10,8,17,20,0,88,10,1027,0,21,9,9,113,113,113
2017-05-22,22,10,5,10,20,20,0,87,10,1021,4.125,23,11,11,113,113,116
2017-05-23,23,13,12,13,22,23,1.5,85,9.75,1020,13,24,14,14,113,176,176
2017-05-24,21,12,10,12,19,19,0.3,80,9.875,1025,25.5,22,12,13,113,116,113
2017-05-25,22,13,17,13,21,20,0.1,88,8.875,1023,12.875,23,13,14,113,116,113
2017-05-26,26,13,20,13,21,26,0,77,10,1021,0,26,13,14,113,113,113
2017-05-27,28,13,5,13,24,26,0,86,10,1020,0,28,13,14,113,113,113
2017-05-28,32,17,4,17,25,32,0,82,10,1020,2.125,33,18,18,113,113,113
2017-05-29,32,18,10,18,27,32,0,81,10,1017,3.75,33,17,19,113,113,113
2017-05-30,26,18,10,18,25,26,2.4,74,9.625,1016,8.5,27,16,19,113,113,113
2017-05-31,25,17,10,17,22,25,2.2,82,8.875,1021,38.25,26,16,18,143,119,113
