#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-10-01,20,13,6,10,18,18,0,76,10,1023,0,20,9,13,113,113,113
2017-10-02,18,14,17,12,18,17,0,76,10,1021,78.25,18,14,14,116,122,122
2017-10-03,17,14,14,14,16,14,16.1,81,13.75,1027,51.25,17,15,13,296,176,116
2017-10-04,18,12,11,9,17,15,0,68,11.625,1027,26.5,18,8,13,116,119,113
2017-10-05,19,14,25,9,19,15,4.8,56,9.5,1024,23.125,19,11,13,113,113,119
2017-10-06,13,10,18,7,13,11,12.3,80,9.25,1026,29,13,9,8,113,116,356
2017-10-07,15,10,14,6,14,13,0.7,77,9.875,1028,41,15,7,9,116,113,113
2017-10-08,15,11,10,10,14,13,3.7,85,9.75,1021,81.75,15,10,10,122,122,119
2017-10-09,16,12,4,8,15,14,0,82,10,1022,53.875,16,10,12,116,119,116
2017-10-10,15,11,9,9,14,13,0,82,10,1022,66.25,15,12,10,113,122,122
2017-10-11,21,14,11,11,18,19,0,79,10,1022,22.75,23,13,14,116,113,113
2017-10-12,19,15,15,12,18,16,0,77,10,1027,23.75,19,12,14,113,119,116
2017-10-13,22,17,4,12,21,21,0,76,10,1028,3.375,25,13,17,116,113,113
2017-10-14,25,17,3,12,23,24,0,70,10,1028,0,27,15,17,113,113,113
2017-10-15,25,18,7,14,24,23,0,62,10,1028,0,26,14,18,113,113,113
2017-10-16,27,19,7,16,25,25,0,60,10,1026,0,27,14,19,113,113,113
2017-10-17,23,17,5,14,22,21,0,54,10,1025,10.875,25,11,17,113,116,113
2017-10-18,25,17,6,13,21,24,0,53,10,1019,23.125,26,12,17,119,116,113
2017-10-19,23,17,7,13,22,21,0,57,10,1015,13.875,25,9,17,113,116,116
2017-10-20,17,16,14,14,17,16,0,71,10,1018,67.625,17,12,16,116,116,119
2017-10-21,20,17,19,13,20,16,3.8,77,9.5,1018,63.5,22,13,16,116,119,176
2017-10-22,12,10,23,9,11,9,1.8,73,10,1021,43.875,12,9,8,113,119,116
2017-10-23,12,10,14,9,12,11,0,81,10,1027,89.5,12,8,8,119,122,122
2017-10-24,17,11,9,10,15,16,0,82,10,1027,74,17,11,11,122,119,116
2017-10-25,20,14,7,11,19,17,0,78,10,1026,39,20,13,15,116,116,116
2017-10-26,21,15,5,12,20,19,0,75,10,1027,14.375,24,13,15,113,116,113
2017-10-27,15,13,18,12,15,12,2,86,9,1032,42.75,15,11,11,116,266,113
2017-10-28,12,9,17,6,12,10,1.1,78,9.875,1032,28.125,12,6,7,113,116,116
2017-10-29,12,12,24,11,12,10,7.4,85,7.375,1023,66,12,10,10,266,296,176
2017-10-30,11,6,9,4,10,10,0,77,18.125,1029,10.75,11,5,6,113,113,113
2017-10-31,11,6,6,4,10,9,0,73,20,1029,6.375,11,3,6,113,113,113
