#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-05-01,15,7,20,7,14,14,24.3,93,7.25,1022,78.75,14,9,2,302,176,353
2016-05-02,18,9,18,9,18,17,0,91,10,1024,13.375,18,12,6,113,113,113
2016-05-03,13,10,17,10,12,12,3.7,82,9.625,1027,45.125,15,9,10,116,296,176
2016-05-04,16,5,21,5,12,13,0,78,10,1029,8.625,16,6,5,113,113,113
2016-05-05,20,6,20,6,18,18,0,75,10,1027,1.375,21,11,6,113,113,113
2016-05-06,23,8,13,8,21,20,0,72,10,1018,5.25,25,12,16,113,113,113
2016-05-07,25,11,12,11,23,22,0.5,74,10,1013,8.75,26,14,17,113,113,176
2016-05-08,24,13,12,13,23,23,0.6,80,10,1012,8.125,26,14,15,113,113,176
2016-05-09,25,14,12,14,23,23,0,79,10,1012,22.625,26,15,15,113,116,113
2016-05-10,21,16,9,16,17,21,4.1,86,9.5,1011,48.5,25,16,17,119,302,113
2016-05-11,24,14,10,14,20,21,0.9,81,9.875,1007,35,25,16,18,113,113,353
2016-05-12,18,15,16,15,18,15,9.4,94,9.5,999,95.125,18,14,12,296,353,353
2016-05-13,19,14,18,14,19,17,6.9,94,7.875,1004,81.875,20,16,14,143,263,353
2016-05-14,17,14,18,14,14,15,2,91,10,1015,62.625,15,11,8,116,176,116
2016-05-15,14,7,16,7,12,13,0.7,82,10,1022,73,12,6,5,119,353,176
2016-05-16,13,7,15,7,11,12,5.7,92,8.5,1023,69.5,13,9,4,266,296,176
2016-05-17,15,9,12,9,14,14,0.4,87,8,1020,40.375,18,12,10,116,176,113
2016-05-18,21,10,19,10,19,19,2.3,84,9.875,1017,43,20,14,13,113,116,353
2016-05-19,17,12,17,12,16,16,6,90,9.5,1018,85.25,15,11,9,353,353,176
2016-05-20,20,11,13,11,18,18,0.2,87,10,1021,36.125,21,14,10,113,116,116
2016-05-21,24,13,13,13,22,22,0,83,10,1020,35.5,27,18,16,113,113,116
2016-05-22,25,13,22,13,25,20,3.2,89,9.5,1013,43.625,26,17,14,113,113,293
2016-05-23,15,11,22,11,15,13,8.9,94,7,1017,94.375,15,13,9,296,296,266
2016-05-24,13,11,14,11,12,13,2.7,95,4.875,1016,83.25,14,12,8,296,353,116
2016-05-25,21,10,10,10,19,20,0,89,7.75,1015,32.25,25,16,13,116,113,116
2016-05-26,25,13,10,13,24,23,1,83,10,1015,25,27,17,16,113,113,176
2016-05-27,26,15,11,15,22,23,1.5,81,9.875,1015,37.75,29,20,19,353,113,176
2016-05-28,25,17,13,17,24,24,0.2,81,10,1014,45.25,29,20,19,116,119,176
2016-05-29,23,17,23,17,22,21,6.6,88,9.25,1007,45.875,27,20,19,113,386,356
2016-05-30,18,14,24,16,16,14,3.6,94,5.75,1009,86.625,19,16,13,266,263,353
2016-05-31,20,15,21,15,20,17,0.2,86,10,1015,58.75,20,15,14,116,176,116
