#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-02-01,11,10,23,11,11,10,1.1,84,9.875,1026,87.125,13,10,9,119,176,122
2016-02-02,11,9,22,9,10,9,1.5,81,9.875,1027,58.25,13,8,8,116,116,116
2016-02-03,8,6,20,5,7,3,6.9,82,9.375,1027,84.75,9,5,3,176,353,176
2016-02-04,4,4,21,3,4,0,6.7,79,9.125,1031,95,6,7,1,122,296,296
2016-02-05,10,7,12,7,10,6,0.3,89,9,1029,58.875,12,8,7,176,116,113
2016-02-06,12,5,18,2,12,9,0,68,10,1024,36.25,14,6,6,113,119,122
2016-02-07,8,6,19,3,7,6,6.3,84,9.375,1012,56.375,9,6,5,116,302,119
2016-02-08,11,8,41,6,11,8,4.8,77,8.875,1012,74.375,12,6,5,116,263,296
2016-02-09,12,8,45,7,12,7,16.4,88,8.75,1008,80.125,12,8,5,353,302,296
2016-02-10,6,4,26,3,6,4,7.3,77,7.125,1007,82.5,5,1,-2,176,317,266
2016-02-11,7,3,17,2,7,4,2.8,84,8.375,1010,89.375,6,3,0,317,266,122
2016-02-12,7,2,9,0,6,4,4.3,80,9.625,1008,59.75,6,3,0,113,116,296
2016-02-13,8,6,17,4,8,5,5.3,89,7,996,81.25,8,4,3,176,296,389
2016-02-14,9,7,15,6,9,6,2.5,79,9.75,997,81.25,8,5,4,116,176,122
2016-02-15,6,4,14,4,5,4,1.2,77,8,1024,84.125,5,2,1,176,122,122
2016-02-16,4,1,21,1,3,2,0,81,10,1031,73.875,4,0,-2,122,119,122
2016-02-17,4,0,15,0,4,3,0,78,10,1028,62.875,6,1,0,116,119,119
2016-02-18,8,2,12,-1,6,4,0,66,10,1017,56.75,10,1,3,119,119,119
2016-02-19,7,3,14,1,5,2,2.4,82,8.625,1026,85.625,5,2,0,317,317,122
2016-02-20,7,4,25,2,6,5,9,85,7.25,1025,74.875,7,5,0,266,302,293
2016-02-21,11,9,29,9,11,10,2.5,83,7.25,1023,55.625,13,9,8,266,116,116
2016-02-22,12,10,22,9,11,10,0.1,76,10,1019,64.625,13,7,8,119,116,116
2016-02-23,9,4,20,8,4,7,14.7,94,7,1016,93.5,11,7,2,296,296,293
2016-02-24,7,3,10,2,6,5,1.5,70,9.875,1021,56.5,8,2,5,113,113,122
2016-02-25,6,2,10,1,5,4,5,84,9,1017,52,7,2,0,317,113,113
2016-02-26,5,2,11,-2,5,2,0,62,10,1017,38.875,6,0,3,113,122,113
2016-02-27,8,2,18,-2,5,4,0,65,10,1008,6.5,9,2,0,113,113,113
2016-02-28,8,1,29,1,6,5,0,66,10,1012,40.375,8,1,-2,116,119,113
2016-02-29,4,3,28,2,4,3,1.2,81,7.625,1019,98.5,5,2,-2,332,122,332
