#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-04-01,16,11,13,9,14,16,0.9,69,10,1016,88.125,17,8,12,353,116,119
2017-04-02,15,10,9,9,13,13,1.1,83,7.75,1021,96.75,16,8,11,143,119,113
2017-04-03,16,9,12,7,14,14,0.1,79,9.75,1027,100,17,7,10,119,113,113
2017-04-04,16,9,15,6,13,16,0.5,79,9.75,1025,100,16,6,9,113,113,113
2017-04-05,17,9,15,6,14,16,0.4,75,10,1025,100,18,6,9,113,113,353
2017-04-06,13,8,13,7,11,12,0.1,76,10,1027,66.625,14,5,8,116,113,119
2017-04-07,16,6,12,3,11,16,0,71,10,1028,0,17,5,7,113,113,113
2017-04-08,17,8,9,5,14,16,0,77,10,1025,0,19,6,9,113,113,113
2017-04-09,21,9,4,6,17,21,0,81,10,1025,0,22,9,10,113,113,113
2017-04-10,21,13,19,8,20,20,3.7,69,10,1021,58.375,22,11,14,113,113,353
2017-04-11,16,10,14,8,13,15,0.3,72,10,1025,66.625,16,6,10,116,113,353
2017-04-12,16,9,21,4,13,15,1.8,66,10,1025,58.375,17,5,9,119,116,113
2017-04-13,13,9,22,8,12,11,2,72,10,1017,75,14,5,9,119,113,176
2017-04-14,15,9,9,6,13,15,0,65,10,1020,100,16,5,10,116,116,122
2017-04-15,15,9,18,5,14,14,1,60,9.875,1020,87.5,16,7,9,116,266,353
2017-04-16,13,7,23,5,12,12,3.1,70,7,1025,100,14,6,7,143,119,353
2017-04-17,13,9,16,5,12,12,5.1,69,10,1024,100,14,4,9,266,116,353
2017-04-18,10,5,18,3,9,9,8.4,65,9.875,1026,66.625,11,1,3,113,338,353
2017-04-19,10,5,24,1,8,8,1.3,65,7.625,1033,50,10,0,3,143,113,113
2017-04-20,11,4,18,-1,9,10,0.1,64,10,1036,12.5,12,0,2,113,113,113
2017-04-21,15,5,5,0,11,15,0,59,10,1035,0,16,1,5,113,113,113
2017-04-22,14,9,14,6,11,14,2.1,72,10,1028,95.875,14,5,9,119,176,293
2017-04-23,12,5,10,3,9,12,0.1,66,10,1027,54.125,13,4,4,119,119,113
2017-04-24,16,6,6,2,12,16,0,65,10,1024,25,17,4,7,113,113,116
2017-04-25,12,9,18,7,12,9,5.9,65,9.375,1011,95.875,13,5,10,119,296,293
2017-04-26,9,5,10,5,9,6,5.1,75,7.625,1013,100,10,3,4,176,353,353
2017-04-27,10,5,13,2,8,10,3.7,71,8.125,1017,100,10,3,5,176,122,353
2017-04-28,12,5,12,2,10,12,4,70,9.75,1021,62.5,13,2,5,113,119,302
2017-04-29,13,7,8,3,11,12,0.2,72,10,1019,33.875,15,3,7,119,113,113
2017-04-30,18,8,8,3,14,18,0,69,10,1016,0,19,6,8,113,113,113
