#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-12-01,6,2,5,-1,6,1,0,64,10,1034,9.875,6,0,1,113,113,113
2016-12-02,5,2,5,-1,5,1,0,90,8.375,1027,40.875,5,3,1,116,116,113
2016-12-03,4,1,13,0,4,1,0,90,6.375,1024,25.125,4,0,-3,248,113,113
2016-12-04,6,2,7,0,6,3,0,71,10,1027,0.25,6,0,0,113,113,113
2016-12-05,8,3,4,1,8,1,0,66,10,1028,2.375,8,0,3,113,113,113
2016-12-06,7,2,5,0,7,4,0,75,10,1032,19.375,7,2,2,113,116,113
2016-12-07,6,2,4,-1,6,1,0,72,10,1034,18.625,6,0,2,116,113,113
2016-12-08,8,4,7,1,8,3,0,57,10,1035,14.5,8,0,2,113,113,113
2016-12-09,8,4,3,2,8,3,0,71,10,1034,18.5,8,1,3,113,113,113
2016-12-10,9,4,5,2,9,5,0,64,10,1030,11.375,9,1,3,113,113,113
2016-12-11,7,4,9,2,7,4,0.3,87,7.375,1027,55.375,7,4,1,113,266,122
2016-12-12,6,4,5,2,6,3,0,92,7,1028,33.125,6,4,3,116,116,113
2016-12-13,7,4,5,2,7,3,0,75,9.625,1028,35.625,7,1,3,113,116,119
2016-12-14,9,5,4,2,9,5,0,67,10,1026,31.75,9,1,4,116,116,113
2016-12-15,8,4,5,2,8,4,0,86,10,1027,11.75,8,5,3,113,113,113
2016-12-16,7,2,6,-1,7,2,0,77,10,1032,34.625,7,2,1,119,113,113
2016-12-17,7,3,4,0,7,2,0,78,10,1038,49.25,7,1,3,116,119,119
2016-12-18,5,2,6,0,5,2,0,83,10,1038,27.375,5,1,1,113,113,113
2016-12-19,4,0,13,-1,3,0,0,91,8,1032,23.125,4,1,-3,143,113,113
2016-12-20,3,-1,6,-2,3,0,0,90,8,1025,30.625,3,0,-3,143,113,119
2016-12-21,6,2,4,0,6,2,0,82,10,1031,4.125,6,2,2,113,113,113
2016-12-22,7,3,8,1,7,4,3.1,74,9.75,1034,27.375,7,2,1,113,113,116
2016-12-23,6,3,2,2,6,2,0.8,95,4.875,1037,54.5,6,4,3,122,143,143
2016-12-24,7,5,13,2,7,5,0.8,91,9,1035,71.5,7,6,1,116,266,122
2016-12-25,8,5,14,4,7,7,0.4,88,9.375,1035,63.125,8,5,2,176,119,116
2016-12-26,10,7,14,6,10,8,1.5,87,9,1037,68.5,10,8,5,122,122,266
2016-12-27,6,4,4,3,6,2,0,85,10,1046,5.75,6,3,3,113,113,113
2016-12-28,6,3,9,3,6,2,0,88,9.375,1046,1.25,6,4,2,113,113,113
2016-12-29,6,2,8,1,5,3,0,87,8.625,1042,0.375,6,3,1,113,113,113
2016-12-30,2,-1,4,-3,-1,2,0,69,10,1039,0,5,0,-1,113,113,113
2016-12-31,0,-5,3,-5,-2,-2,0,48,10,1036,0,1,0,-4,113,113,113
