#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-12-01,3,0,6,-1,3,1,0,82,10,1019,31.75,3,0,-2,116,116,116
2017-12-02,3,-1,13,-2,2,1,0,87,10,1027,20.75,3,0,-4,116,116,116
2017-12-03,1,-2,4,-3,1,1,0.7,82,8.75,1029,52.125,1,0,-2,116,116,326
2017-12-04,3,1,8,0,3,3,1.3,88,9.625,1037,100,3,2,-1,311,176,122
2017-12-05,5,2,4,1,4,3,0.1,90,10,1039,65.75,5,2,1,119,119,119
2017-12-06,7,2,4,0,5,6,0,83,10,1038,18,7,4,1,116,116,116
2017-12-07,7,3,15,2,6,6,0.5,76,9.875,1031,15.75,7,2,0,113,113,113
2017-12-08,6,4,22,6,5,2,13.4,82,7.75,1017,84.875,6,4,0,296,116,335
2017-12-09,2,0,19,-1,2,0,3.1,78,8.625,1020,67.25,2,0,-4,179,326,116
2017-12-10,7,0,25,-1,3,7,10.9,87,8.125,1016,79,7,5,-5,119,338,302
2017-12-11,7,5,19,5,7,6,19.2,93,7.5,988,89.75,8,5,3,266,302,302
2017-12-12,5,3,15,3,4,2,0.4,79,9.875,1020,68,6,2,-1,326,326,176
2017-12-13,5,2,22,1,5,3,3.4,72,9.25,1021,49,5,3,-3,116,116,302
2017-12-14,8,6,26,6,7,6,4.1,70,9,1004,69.75,8,5,1,353,116,122
2017-12-15,6,4,24,3,6,4,6.6,77,13.125,1002,86.375,6,3,0,176,389,176
2017-12-16,4,3,11,3,4,3,7,89,8.125,1020,94.125,4,1,1,266,317,176
2017-12-17,2,0,8,1,2,1,3.9,88,7,1030,66.25,2,1,-2,338,116,116
2017-12-18,3,2,13,1,3,2,3.8,91,7.25,1029,81.375,3,2,-2,335,317,119
2017-12-19,4,2,4,2,4,3,0.4,88,9.375,1037,82.625,4,1,2,326,119,119
2017-12-20,5,3,5,3,5,5,7.5,89,9.125,1037,100,5,3,2,296,296,122
2017-12-21,6,5,6,4,6,6,3.1,88,5,1038,100,6,5,3,122,266,266
2017-12-22,8,7,6,6,8,7,5,91,6.625,1037,95.75,8,6,5,266,266,119
2017-12-23,9,7,5,6,8,8,0.2,91,10,1037,79.125,9,6,6,119,122,122
2017-12-24,8,4,7,3,7,6,0,86,10,1036,22.375,8,4,3,116,116,116
2017-12-25,7,5,5,5,7,5,0,80,10,1028,25,7,3,5,113,116,119
2017-12-26,8,7,22,5,8,5,0.3,79,9,1014,27.625,8,4,4,116,266,116
2017-12-27,6,5,17,4,6,5,4.1,78,8.125,1000,84.375,6,3,1,266,296,176
2017-12-28,4,2,20,3,2,2,6.4,81,6.375,1011,83.75,4,0,-2,317,338,323
2017-12-29,3,1,21,0,3,0,3.9,76,9.375,1014,54.375,3,2,-3,116,116,317
2017-12-30,12,6,19,4,10,12,4.2,85,9.75,1012,86.25,13,9,2,119,296,353
2017-12-31,13,11,20,11,13,10,2.5,79,9.875,1014,48,13,9,8,116,116,116
