#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-11-01,14,7,6,5,11,11,0,67,10,1027,20.75,16,8,11,113,113,113
2016-11-02,10,9,13,8,9,7,0.4,87,9,1023,53.5,11,6,6,116,266,113
2016-11-03,10,6,3,1,10,6,0,81,10,1024,23.25,11,5,6,113,113,113
2016-11-04,11,6,7,1,11,8,0,68,10,1022,42.375,12,4,5,113,119,119
2016-11-05,10,8,11,9,8,8,19,94,5.625,1010,93.875,10,9,7,266,302,302
2016-11-06,7,6,10,5,7,5,0.7,87,9.625,1006,67.875,8,4,5,116,176,176
2016-11-07,7,3,12,1,7,5,0.4,82,10,1011,32.75,7,2,0,113,116,353
2016-11-08,5,3,12,0,5,3,1,79,8.75,1014,59.25,6,2,1,116,317,353
2016-11-09,6,3,17,0,6,4,3.9,78,8.25,1013,74.875,6,4,-1,116,266,296
2016-11-10,9,8,21,6,9,7,3,84,9.625,1011,86.125,10,7,5,353,119,353
2016-11-11,7,6,19,6,7,6,15,87,5.625,1023,93.625,7,5,3,302,296,266
2016-11-12,7,3,5,1,7,2,0.1,86,7.625,1025,31.25,7,3,2,116,113,113
2016-11-13,8,4,6,3,8,4,0.3,80,9,1028,61,8,3,4,122,176,116
2016-11-14,3,-1,9,-2,1,0,0,82,8,1034,21.5,6,0,0,143,113,119
2016-11-15,4,1,12,-1,3,4,0.9,73,8,1033,73,5,3,2,116,119,266
2016-11-16,10,7,15,6,8,10,9.2,92,6.375,1028,95.125,10,9,6,302,296,119
2016-11-17,13,10,23,8,12,12,2.2,85,9.625,1019,88.125,13,10,8,353,122,122
2016-11-18,13,11,32,12,13,8,6.6,81,8.75,1009,75.5,13,10,9,302,119,296
2016-11-19,9,8,18,7,9,6,4.3,88,9.75,1013,48.25,9,6,6,119,296,113
2016-11-20,13,6,22,3,12,10,0,69,10,1012,23.125,13,6,3,113,113,113
2016-11-21,12,10,4,8,12,10,1.4,73,7.375,1006,67,12,7,10,113,176,266
2016-11-22,14,10,8,9,14,9,0.4,87,7.625,1013,49.25,14,10,11,143,176,116
2016-11-23,13,10,9,8,13,9,0,84,8.375,1016,43.125,13,9,9,116,116,116
2016-11-24,11,7,15,6,10,8,0,89,7.625,1016,19.5,11,8,5,113,113,113
2016-11-25,10,6,15,6,9,7,0,86,10,1018,33.5,10,6,3,119,113,113
2016-11-26,10,6,4,3,10,7,0,89,8,1018,46,10,7,6,116,116,116
2016-11-27,9,7,15,5,8,8,0,88,10,1022,59.625,9,5,6,119,113,122
2016-11-28,4,2,25,1,4,1,0,76,10,1029,3,4,0,-2,113,113,113
2016-11-29,4,1,10,-1,4,2,0,60,10,1034,0.125,4,0,-2,113,113,113
2016-11-30,2,-1,4,-2,2,0,0,47,10,1035,12.375,3,0,-1,113,113,113
