#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-06-01,25,16,15,16,23,25,0,79,10,1021,0.375,26,14,17,113,113,113
2017-06-02,25,18,6,18,24,23,3.2,81,9.75,1019,5.375,26,17,18,113,113,176
2017-06-03,27,17,11,17,26,25,5.6,85,9.5,1015,28.125,28,16,18,113,176,176
2017-06-04,20,16,12,16,19,20,13.5,88,9.125,1017,47.875,21,16,17,302,176,116
2017-06-05,20,12,5,12,18,19,0,80,10,1017,40.75,22,12,13,119,116,116
2017-06-06,18,13,28,13,18,18,5,88,9.75,1011,48.125,19,13,14,113,296,176
2017-06-07,18,11,19,11,17,18,4.4,77,9.375,1021,20,19,8,12,176,176,176
2017-06-08,22,10,9,10,20,20,0,81,10,1021,3.5,23,12,11,113,113,113
2017-06-09,21,15,16,15,21,21,6.6,72,9.5,1017,46.125,22,16,15,113,353,386
2017-06-10,23,12,6,12,21,23,0.1,94,9,1022,9,24,13,13,143,113,113
2017-06-11,28,14,4,14,25,26,0,85,10,1021,15.25,29,17,14,113,113,116
2017-06-12,26,18,16,18,25,25,5.3,84,9.625,1018,22.5,27,17,19,356,116,113
2017-06-13,23,13,9,13,21,22,0,80,10,1020,4.125,24,12,13,113,116,113
2017-06-14,25,15,10,15,23,23,0,80,10,1018,14.625,26,15,15,113,113,119
2017-06-15,28,16,9,16,26,28,12.9,82,7,1016,5,30,18,17,143,113,113
2017-06-16,23,17,20,17,19,23,5.8,72,9.625,1023,12.75,23,17,17,353,113,113
2017-06-17,22,13,11,13,20,21,0,75,11.125,1027,20.125,23,13,14,116,113,116
2017-06-18,27,16,22,16,23,27,0,83,10,1025,3.25,27,14,17,113,113,113
2017-06-19,29,15,5,15,26,27,0,81,10,1021,5.75,29,16,16,113,113,113
2017-06-20,34,20,9,20,29,34,0,78,10,1017,5.125,35,17,20,113,113,113
2017-06-21,31,20,9,20,30,29,0,78,15.5,1016,2.5,32,18,20,113,113,113
2017-06-22,32,20,14,20,28,32,0.2,79,10,1017,0.75,33,18,21,113,113,113
2017-06-23,29,21,21,21,28,29,6.3,70,9.375,1017,22.375,30,17,22,356,176,113
2017-06-24,27,17,15,17,24,27,0.4,76,10,1019,71.125,28,14,18,119,176,119
2017-06-25,26,17,19,17,24,26,3,70,9.875,1017,66.625,27,14,18,122,353,353
2017-06-26,30,16,9,16,25,30,0.3,81,10,1015,28.75,30,16,17,113,116,113
2017-06-27,27,18,10,18,23,27,2.7,92,8.875,1010,26.625,29,18,19,263,176,113
2017-06-28,26,20,16,20,22,26,3.7,84,9.75,1003,42.25,26,18,20,353,353,176
2017-06-29,22,15,24,16,21,19,6.7,92,8.75,1004,62.625,25,15,14,353,176,176
2017-06-30,22,14,25,14,22,19,3.7,90,14.875,1009,36.375,23,15,14,113,116,386
