#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-07-01,20,14,27,15,19,17,3.2,94,8.125,1017,75,20,15,14,353,122,353
2017-07-02,22,14,18,14,22,17,4.4,91,8.625,1024,75.25,23,17,14,296,263,353
2017-07-03,24,19,14,17,23,23,1,87,9.75,1025,54.375,26,18,19,122,176,176
2017-07-04,28,24,6,18,27,26,0.2,85,10,1023,21,29,20,24,116,113,113
2017-07-05,31,26,6,22,30,29,0.2,83,10,1020,0,34,23,26,113,113,113
2017-07-06,33,26,9,24,32,30,0.1,74,10,1019,0,36,21,26,113,113,113
2017-07-07,29,24,19,21,28,28,7.6,88,9.125,1019,14.125,33,23,24,113,176,356
2017-07-08,31,24,11,23,30,29,0.8,83,9.875,1019,10.25,35,22,24,113,113,386
2017-07-09,31,25,12,23,31,28,4,90,9.875,1015,38,35,22,25,116,113,386
2017-07-10,26,20,21,19,25,24,17.1,88,8.75,1011,51.75,28,20,20,353,176,356
2017-07-11,25,18,14,18,24,23,6.1,88,8.625,1016,41.125,26,18,18,176,353,176
2017-07-12,21,17,25,19,20,20,3.3,92,9.25,1020,60.5,23,18,17,119,263,176
2017-07-13,26,19,10,15,23,23,0.1,80,9,1023,25.25,26,15,19,116,113,113
2017-07-14,24,17,22,17,23,21,7.2,82,9.625,1020,34.875,25,17,17,176,176,113
2017-07-15,23,17,9,14,22,21,0.7,82,9,1025,44,25,14,17,143,176,116
2017-07-16,27,19,4,16,24,25,0,87,10,1025,41.875,28,19,19,116,119,116
2017-07-17,31,25,9,20,29,28,0.1,86,9,1023,5.25,33,21,25,113,113,113
2017-07-18,32,25,7,20,30,30,0,76,8,1020,2.25,35,21,25,143,113,113
2017-07-19,32,26,14,23,31,30,0.1,66,9.875,1015,4.125,35,20,26,113,113,200
2017-07-20,28,20,16,21,26,25,9.1,82,9.25,1015,38.875,29,19,20,353,353,176
2017-07-21,29,24,6,19,28,28,2.9,76,9.75,1016,39.375,32,20,24,119,113,200
2017-07-22,30,24,11,20,28,29,2.2,69,9.125,1015,32.5,32,18,24,113,176,176
2017-07-23,24,19,18,18,23,22,3.4,67,9.25,1019,53.625,25,16,19,353,176,119
2017-07-24,21,15,19,16,21,18,17,89,8.125,1014,58.625,23,15,14,353,293,356
2017-07-25,20,15,18,14,19,18,15.3,87,9,1013,58.875,20,15,15,353,353,356
2017-07-26,23,16,17,14,21,21,11.3,85,8.125,1013,64,25,15,16,302,176,176
2017-07-27,22,19,14,17,21,21,5.1,87,7.875,1013,77.875,25,18,19,296,266,353
2017-07-28,24,18,12,18,24,21,0.4,76,10,1017,33.125,26,16,18,113,176,113
2017-07-29,31,23,9,18,28,30,0,67,10,1018,8.5,33,19,23,113,113,116
2017-07-30,30,22,15,22,30,26,9.5,82,15.75,1014,24.875,32,21,22,176,113,356
2017-07-31,31,24,9,21,29,28,0.8,79,17.5,1016,24.5,35,22,24,116,176,113
