#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-01-01,6,1,4,0,6,3,0,48,10,1028,0.75,6,0,0,113,113,113
2017-01-02,0,-2,7,-3,0,-3,2.5,92,6.75,1028,41.375,0,0,-4,113,122,335
2017-01-03,1,-3,6,-6,0,-2,0,95,5.375,1030,21.75,1,0,-5,260,143,113
2017-01-04,2,1,22,-1,2,2,2.6,90,9.125,1026,79,2,1,-5,119,317,317
2017-01-05,1,-2,9,-3,1,-4,1.1,93,6,1037,50,1,0,-6,371,338,116
2017-01-06,-4,-7,8,-9,-4,-7,0,91,7,1041,14.25,0,0,-10,143,113,116
2017-01-07,-2,-7,2,-9,-3,-3,0.2,60,9.375,1041,65.375,0,0,-7,116,119,122
2017-01-08,0,-1,5,-3,0,-1,2.1,95,4.375,1033,88.125,0,0,-2,332,332,326
2017-01-09,1,-4,5,-7,1,-3,0,96,4.75,1032,37.25,1,0,-5,260,143,116
2017-01-10,2,0,8,-2,2,1,4.6,98,4,1020,91.375,2,2,-3,332,338,338
2017-01-11,3,-2,19,-3,1,3,1.2,98,7.75,1017,64.625,3,3,-6,116,116,266
2017-01-12,6,4,13,3,5,5,5,95,7.25,1019,88.75,6,5,1,122,266,266
2017-01-13,6,1,23,1,2,-1,2.8,86,9.25,1008,62.875,6,4,-4,113,119,323
2017-01-14,2,0,15,-1,2,1,2.8,93,5.375,1018,95.625,2,1,-4,338,332,332
2017-01-15,0,-1,7,-3,0,-3,0.8,93,6.25,1024,66.625,0,0,-4,143,332,116
2017-01-16,-1,-4,10,-4,-1,-4,0.4,96,6,1029,37.875,0,0,-7,371,143,113
2017-01-17,-3,-5,18,-6,-3,-4,0,92,8.625,1034,56.125,0,0,-11,116,116,122
2017-01-18,-2,-4,19,-5,-2,-3,0,80,10,1035,38.625,0,0,-9,116,116,116
2017-01-19,-2,-6,13,-7,-3,-4,0,82,10,1035,15.375,0,0,-11,113,113,116
2017-01-20,1,-5,8,-6,0,-2,0,84,9,1034,8.125,1,0,-8,143,113,113
2017-01-21,3,-3,6,-5,1,1,0,62,10,1032,2.75,3,0,-5,113,113,113
2017-01-22,1,-4,8,-5,0,-2,0,75,10,1029,14.375,1,0,-7,113,113,113
2017-01-23,1,-4,9,-5,0,-2,0,71,10,1027,24.875,1,0,-7,116,113,113
2017-01-24,-1,-5,11,-6,-2,-4,0,86,10,1030,28.5,0,0,-8,113,116,116
2017-01-25,-1,-6,11,-8,-2,-2,0,82,10,1030,5.75,0,0,-9,113,113,113
2017-01-26,3,-5,6,-7,0,1,0,74,10,1028,1.875,3,0,-6,113,113,113
2017-01-27,4,-1,5,-3,4,0,0,69,10,1022,10.125,4,0,-2,113,113,113
2017-01-28,6,1,3,-2,5,2,0,77,10,1021,47.5,6,0,1,116,116,116
2017-01-29,6,2,10,1,6,3,0,84,10,1024,43.75,6,4,0,116,116,116
2017-01-30,4,3,13,2,4,3,6,93,8,1023,79,4,3,0,119,176,296
2017-01-31,6,4,8,3,5,5,7.3,96,5.25,1018,96.875,6,5,2,296,296,266
