#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-11-01,16,9,5,5,14,13,0,60,10,1027,13.375,16,6,9,116,113,113
2017-11-02,15,11,18,9,15,12,0,67,10,1021,45.25,15,8,10,116,116,122
2017-11-03,15,10,4,8,14,12,0,83,10,1019,38.5,15,9,10,119,116,116
2017-11-04,17,12,15,10,16,15,0.5,78,9.875,1014,43.75,17,11,11,119,116,116
2017-11-05,12,10,20,11,10,8,12.5,85,8.75,1018,81,12,10,7,302,296,119
2017-11-06,9,5,12,3,8,6,0.3,82,9,1024,43.875,9,4,3,119,116,116
2017-11-07,8,5,13,3,7,7,0.2,85,9.375,1024,75.875,8,5,2,116,119,176
2017-11-08,9,7,7,6,8,7,3.7,85,7.25,1021,96.75,9,5,6,296,266,122
2017-11-09,9,5,6,3,8,7,0.1,85,10,1027,58.5,9,5,5,116,116,116
2017-11-10,7,5,15,3,6,7,3,82,7.5,1027,71,7,5,2,116,176,263
2017-11-11,10,8,23,7,9,8,13.3,82,7.5,1022,91.375,10,9,5,122,266,296
2017-11-12,11,8,26,8,11,6,47.5,90,6.875,1010,95,11,9,5,296,308,302
2017-11-13,7,4,14,3,6,5,1.1,85,8.375,1023,75.25,7,3,1,176,122,263
2017-11-14,8,4,5,2,7,6,0,87,10,1028,31.75,8,4,4,116,116,116
2017-11-15,8,4,9,2,8,6,0,74,10,1028,13.625,8,2,4,116,116,116
2017-11-16,8,4,5,2,7,6,0,67,10,1026,15.375,8,2,4,116,116,116
2017-11-17,7,4,7,2,7,5,0,76,10,1027,74.625,7,3,4,119,122,119
2017-11-18,7,5,11,3,7,5,0,85,10,1026,50.125,7,3,4,119,116,116
2017-11-19,8,6,17,5,8,5,8.4,82,9,1026,60,8,3,3,302,353,116
2017-11-20,7,3,10,1,6,6,0,77,10,1027,49.125,7,3,2,116,119,119
2017-11-21,10,7,14,6,9,8,5,87,9,1021,64.625,10,6,4,296,296,116
2017-11-22,14,7,10,5,13,12,0,75,10,1017,17.5,14,6,6,116,116,113
2017-11-23,14,10,17,7,14,12,0,64,10,1015,34.75,14,7,7,116,119,116
2017-11-24,14,12,15,10,14,12,6.3,74,8.25,1015,68.875,14,9,10,176,200,266
2017-11-25,10,8,21,9,9,6,38.1,90,7.875,1021,89.5,10,9,5,308,302,353
2017-11-26,5,3,14,1,5,3,1.2,81,10,1030,70.875,5,1,-1,116,119,362
2017-11-27,6,3,20,2,6,6,2.3,80,8,1030,76.875,6,2,-1,176,119,266
2017-11-28,6,6,18,6,6,5,17.1,82,8.25,1015,95.25,6,3,2,296,302,302
2017-11-29,5,4,8,2,5,3,2.4,85,9.5,1009,58.375,5,1,2,176,317,116
2017-11-30,4,2,11,1,3,2,4.2,84,6.25,1009,91.25,4,1,-1,326,338,317
