#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-02-01,9,4,5,2,7,6,0.2,93,7.625,1018,78.375,9,7,3,119,122,116
2017-02-02,12,7,7,5,11,9,0.2,86,10,1015,35.875,12,8,6,176,116,113
2017-02-03,11,8,14,7,9,9,2,92,8.875,1010,57,12,7,5,296,176,113
2017-02-04,7,4,36,3,5,7,5.7,88,7.375,1009,54.625,7,5,2,113,266,296
2017-02-05,7,4,5,2,5,5,6.2,92,6.875,1007,61.5,7,5,3,113,266,266
2017-02-06,8,3,6,2,6,5,1.3,92,6.625,1020,65.125,8,4,2,266,119,113
2017-02-07,7,4,5,2,7,5,2.2,90,8.25,1021,78.125,7,4,3,122,116,266
2017-02-08,7,3,13,2,6,4,1.2,90,6.375,1025,59.25,7,4,1,266,116,116
2017-02-09,4,0,16,-1,3,1,0,86,6.625,1026,47.375,4,0,-4,143,116,113
2017-02-10,5,1,4,-1,3,4,0.7,86,9,1021,65.625,6,1,1,119,338,116
2017-02-11,7,3,5,1,7,3,1.5,86,9,1021,52.25,7,2,2,116,116,266
2017-02-12,9,4,11,2,8,6,1.8,88,9,1026,39.125,9,6,3,296,263,113
2017-02-13,9,2,13,-1,6,8,0,84,10,1027,8.125,10,3,-2,116,113,113
2017-02-14,10,6,8,3,9,9,0,85,10,1033,0,11,5,5,113,113,113
2017-02-15,14,8,7,3,13,12,0,76,10,1035,2.625,14,6,8,113,113,113
2017-02-16,14,8,8,5,13,13,1.4,85,10,1035,36,15,9,7,116,116,119
2017-02-17,11,8,13,7,10,10,6.2,89,9.5,1030,65,12,6,7,296,176,116
2017-02-18,10,6,10,2,9,8,0,88,8,1029,27.75,10,5,6,143,113,113
2017-02-19,13,6,9,4,10,11,0,80,10,1026,9,13,6,5,113,113,113
2017-02-20,10,5,15,4,9,8,1.8,87,9.125,1025,97.125,10,6,3,122,122,122
2017-02-21,12,10,17,9,12,11,3.4,91,3.875,1022,94.5,12,10,8,266,296,266
2017-02-22,12,10,29,9,12,11,0.4,84,8.625,1019,73.25,12,8,7,266,122,116
2017-02-23,14,9,32,7,13,11,0.3,81,10,1015,76.5,14,7,7,116,122,116
2017-02-24,8,5,16,5,7,5,2.5,82,9.75,1021,57.375,8,3,3,116,353,353
2017-02-25,12,5,3,1,10,10,0.1,75,10,1024,14,13,1,5,113,113,113
2017-02-26,13,6,13,3,10,10,0,71,10,1020,36.125,13,4,4,116,119,113
2017-02-27,14,8,19,4,12,11,0.4,82,9.375,1015,48.375,14,7,5,116,113,116
2017-02-28,9,6,24,6,9,6,15.6,83,7.375,1001,92.5,9,6,2,302,116,302
