#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-07-01,27,18,14,18,25,25,1.9,89,9.375,1018,31.5,28,20,20,116,176,176
2016-07-02,20,18,18,20,19,18,1.5,92,9.75,1023,57,20,18,18,353,176,176
2016-07-03,19,15,10,15,19,19,1.2,83,9.75,1023,47,25,16,16,116,353,176
2016-07-04,23,16,6,16,23,23,1.2,87,9.875,1023,65,27,19,19,119,353,176
2016-07-05,25,18,15,18,24,24,1,87,8.625,1019,57,26,19,20,122,176,176
2016-07-06,23,18,6,18,21,22,0.4,90,8,1022,42.5,25,17,18,116,176,113
2016-07-07,25,16,9,16,24,24,0,85,10,1022,9.375,28,18,18,113,113,116
2016-07-08,29,17,20,17,29,27,2.8,83,9.625,1020,17.125,30,21,22,113,113,176
2016-07-09,28,20,7,20,23,27,0.1,89,9,1022,15.875,29,20,20,113,113,113
2016-07-10,32,20,15,20,30,31,0,79,10,1018,7.125,37,23,24,113,113,113
2016-07-11,27,22,13,22,27,25,0.1,86,10,1014,36.875,29,21,24,113,116,116
2016-07-12,22,19,13,19,20,21,2.3,88,10,1014,71.875,25,17,18,176,353,176
2016-07-13,19,15,14,15,19,18,8.2,90,9.875,1016,50.375,19,14,16,353,353,353
2016-07-14,20,14,13,14,18,18,7.2,90,9.5,1023,56.125,20,14,14,176,353,176
2016-07-15,22,14,10,14,21,19,0.7,89,8.875,1027,39.875,24,14,12,116,176,176
2016-07-16,24,15,6,15,23,23,0,83,10,1028,15.125,27,18,17,113,113,113
2016-07-17,27,18,6,18,26,26,3.7,84,8.75,1025,18.75,31,21,20,113,113,176
2016-07-18,29,20,10,20,28,27,0.2,88,8.875,1023,24.25,34,23,23,113,176,113
2016-07-19,30,19,9,19,29,28,0,79,10,1022,0.5,39,23,26,113,113,113
2016-07-20,33,20,13,20,32,31,0,78,10,1019,1.25,39,25,26,113,113,113
2016-07-21,27,22,11,22,27,23,10.5,86,8.5,1016,32,33,23,23,263,356,386
2016-07-22,28,21,12,21,27,26,0.2,81,10,1016,28.25,34,22,23,113,116,176
2016-07-23,27,21,17,21,27,24,12.6,89,8.875,1017,29.875,33,22,23,176,353,176
2016-07-24,26,19,10,19,24,25,6.1,92,8.375,1018,56,27,20,21,353,293,176
2016-07-25,28,20,13,20,27,26,0.9,91,8,1021,43,30,21,20,122,353,113
2016-07-26,26,21,15,21,25,23,8.1,87,8.375,1020,25.75,31,22,23,113,176,176
2016-07-27,25,19,8,19,25,24,1,87,9.875,1020,34.375,26,18,19,113,116,176
2016-07-28,25,19,12,19,25,23,5,86,8.5,1019,32.375,29,20,20,116,176,293
2016-07-29,28,18,19,18,27,26,3.4,90,8.625,1017,55.875,28,20,20,116,176,176
2016-07-30,31,20,12,20,29,28,1,87,9.875,1015,64.5,30,21,20,122,353,176
2016-07-31,23,19,16,19,23,21,3.3,91,9.875,1017,55.75,26,18,18,176,353,176
