#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-08-01,23,15,7,15,22,21,0,84,10,1021,12.5,27,17,18,113,113,113
2016-08-02,23,17,15,17,23,19,0.3,86,9.375,1019,63.5,25,17,19,116,122,263
2016-08-03,29,18,14,18,29,25,0.2,90,9.375,1018,48.625,28,20,20,263,116,113
2016-08-04,28,17,10,17,28,22,33.3,96,8.125,1014,41,30,19,18,116,113,308
2016-08-05,22,16,10,16,19,20,1.3,89,8,1023,42.875,25,16,16,122,353,176
2016-08-06,23,12,6,12,22,21,0.6,83,9.875,1028,19.5,26,17,13,113,176,113
2016-08-07,25,15,7,15,24,23,0,84,10,1029,4.125,30,19,19,113,113,113
2016-08-08,27,17,15,17,26,24,2.3,80,9.75,1024,29,30,20,21,113,116,176
2016-08-09,19,16,10,17,19,17,1.5,91,7.75,1021,58.625,25,14,16,266,113,176
2016-08-10,21,10,9,10,20,19,4.8,84,9.5,1023,27.625,20,13,11,113,176,176
2016-08-11,21,7,8,7,19,20,0.6,81,9,1026,41.375,21,12,8,113,116,119
2016-08-12,24,15,8,15,23,22,1.1,87,7,1026,70.5,26,18,13,266,119,176
2016-08-13,27,15,10,15,26,24,0,83,10,1026,5.5,32,22,22,113,113,113
2016-08-14,28,16,8,16,27,25,0.2,82,10,1024,12,32,21,23,113,113,113
2016-08-15,28,18,13,18,27,25,0,88,10,1022,4.375,32,20,19,113,113,113
2016-08-16,28,17,11,17,26,25,0,90,9,1018,5.25,31,19,19,113,113,113
2016-08-17,25,17,12,17,25,23,0,82,10,1013,26.75,29,18,18,116,116,113
2016-08-18,24,13,8,13,24,21,2.6,85,9.375,1011,35.5,26,18,14,113,116,353
2016-08-19,28,14,8,14,23,24,0.1,89,9,1013,55.25,29,17,15,119,176,119
2016-08-20,21,18,14,18,21,18,3.8,89,9.75,1018,51.25,24,18,17,176,293,176
2016-08-21,22,14,18,14,19,19,1.5,86,9.625,1024,40.25,25,13,15,119,176,176
2016-08-22,24,13,7,13,23,21,0,84,10,1028,23.875,27,17,15,113,116,113
2016-08-23,28,14,10,14,26,25,0,84,10,1029,2.375,31,18,19,113,113,113
2016-08-24,30,16,6,16,28,27,0,85,10,1024,0,38,21,22,113,113,113
2016-08-25,30,17,5,17,28,27,0,87,10,1020,0,42,22,22,113,113,113
2016-08-26,34,19,10,19,33,30,0,79,10,1018,0,43,22,25,113,113,113
2016-08-27,34,20,8,20,33,30,0,76,10,1019,5.25,38,22,27,113,113,113
2016-08-28,34,23,19,23,33,30,0.3,78,9.875,1017,17.375,34,19,23,113,113,200
2016-08-29,27,17,13,17,27,24,0.2,87,9.875,1022,36.5,26,17,18,113,116,116
2016-08-30,26,13,20,13,26,24,0,93,10,1023,12.125,27,17,14,116,113,113
2016-08-31,28,16,6,16,26,26,0,86,10,1021,9.75,31,19,18,113,113,113
