#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-09-01,20,16,9,13,20,18,5.3,70,10,1022,27,20,12,17,113,113,176
2017-09-02,20,15,6,12,18,17,2.7,68,9.875,1020,29.25,20,11,15,113,176,113
2017-09-03,21,15,4,11,19,19,0,70,10,1020,12.125,23,10,15,113,116,116
2017-09-04,22,17,7,13,22,18,0,61,10,1020,24.625,23,11,17,113,113,116
2017-09-05,25,20,9,16,24,23,0,68,10,1021,73.375,26,17,20,122,116,122
2017-09-06,20,17,22,17,20,17,0,78,10,1021,50.875,20,16,17,116,122,119
2017-09-07,20,16,10,14,19,17,0,70,10,1021,59.625,20,11,16,119,119,116
2017-09-08,21,16,21,12,19,18,0,68,10,1017,50.25,21,11,16,116,122,116
2017-09-09,17,15,19,14,16,15,7.3,85,9.125,1005,63.25,17,13,14,122,299,116
2017-09-10,20,14,8,11,18,17,0,76,10,1008,36.625,20,10,14,116,119,113
2017-09-11,17,13,22,12,16,15,0,80,10,1009,31.375,17,10,12,116,116,116
2017-09-12,17,14,22,12,16,15,5,79,9.75,1016,51.75,17,10,12,353,176,176
2017-09-13,20,16,36,13,19,20,0,69,10,1016,55,20,14,16,113,122,119
2017-09-14,18,12,25,14,13,13,26.9,85,8.375,1017,55.75,19,14,10,296,302,176
2017-09-15,17,13,10,9,16,14,0,70,10,1018,33.375,17,8,12,116,113,176
2017-09-16,17,12,5,8,16,14,0,73,10,1014,33.25,17,8,12,116,119,176
2017-09-17,16,11,10,8,15,13,1.1,71,10,1016,38.625,16,8,11,113,116,116
2017-09-18,16,12,9,9,15,14,2.6,78,9.625,1018,57.25,16,9,11,122,119,116
2017-09-19,16,11,12,8,15,13,2.9,81,9.75,1022,42,16,9,11,116,119,176
2017-09-20,18,12,6,8,16,16,0,80,10,1024,42.625,18,9,11,119,116,113
2017-09-21,21,14,6,9,19,21,0,71,10,1023,0,23,9,14,113,113,113
2017-09-22,21,15,5,11,20,18,0,64,10,1022,9.5,24,11,15,113,113,116
2017-09-23,21,15,8,11,20,18,0,70,10,1023,0,21,11,15,113,113,113
2017-09-24,22,15,7,12,20,19,0,76,10,1022,0,24,12,15,113,113,113
2017-09-25,21,15,7,11,20,19,0,73,10,1022,0,24,11,15,113,113,113
2017-09-26,22,15,3,11,20,20,0,72,10,1023,0,24,11,15,113,113,113
2017-09-27,22,16,4,11,20,20,0,69,10,1023,2.125,24,11,16,113,113,113
2017-09-28,24,18,8,14,22,23,0,71,10,1025,30.5,26,13,18,113,116,116
2017-09-29,24,18,7,15,23,23,0,67,10,1025,38.75,26,15,18,116,119,116
2017-09-30,21,13,23,15,21,13,2.3,84,9.875,1022,48,23,14,12,116,116,176
