#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-06-01,23,14,17,14,22,21,0.1,87,10,1015,41.75,24,16,14,116,116,116
2016-06-02,21,15,15,15,21,20,31.4,93,5.375,1011,96.875,15,14,12,308,266,176
2016-06-03,23,16,11,16,22,20,1.8,90,7.875,1012,59.625,26,19,16,116,176,353
2016-06-04,20,15,11,15,18,19,1.6,94,8.875,1014,56.625,25,18,16,353,353,176
2016-06-05,24,15,11,15,23,22,3.1,88,9,1017,43.375,28,20,19,119,116,386
2016-06-06,27,17,12,17,25,25,2,87,8.875,1020,6.75,30,21,21,113,113,176
2016-06-07,28,18,13,18,28,25,3.9,83,9.75,1021,11.75,31,21,21,113,113,176
2016-06-08,21,18,19,19,20,20,10.9,92,8.75,1021,76.5,26,21,19,353,389,353
2016-06-09,23,16,15,16,22,21,1.1,90,9,1017,28.375,26,16,16,116,113,113
2016-06-10,24,12,10,12,23,23,0,86,10,1016,7.375,26,17,13,113,113,113
2016-06-11,18,16,14,16,18,17,13.4,89,8.625,1011,66.375,24,18,18,176,356,353
2016-06-12,20,15,17,15,20,17,8.4,96,7.625,1012,96.625,20,17,13,302,353,353
2016-06-13,19,15,17,15,19,18,7.2,93,9.5,1008,76.625,20,15,15,176,176,353
2016-06-14,18,14,14,15,18,14,11.9,92,6,1004,74.375,18,16,14,116,299,299
2016-06-15,20,13,19,13,20,17,3.8,90,6.75,1004,65.375,20,15,13,176,353,176
2016-06-16,22,13,12,13,19,19,12.1,93,9.125,1005,61,25,18,13,296,293,356
2016-06-17,19,15,19,15,17,19,9.3,93,8.125,1014,53.75,21,16,12,176,353,176
2016-06-18,21,14,11,14,21,17,4.6,88,9.625,1020,48.375,21,16,16,353,353,176
2016-06-19,18,14,16,14,18,18,3.1,90,8.875,1024,70.125,19,15,14,116,353,176
2016-06-20,23,13,17,13,22,21,1.2,85,9.875,1025,32,25,16,17,113,116,116
2016-06-21,21,15,13,15,20,20,3.4,92,8.25,1023,81.25,25,20,16,176,353,176
2016-06-22,27,17,9,17,25,26,0.1,85,10,1024,22.25,35,24,22,113,113,113
2016-06-23,32,19,8,19,30,31,0,84,9,1022,0.375,49,30,26,113,113,113
2016-06-24,32,24,12,24,28,28,3.6,83,9.75,1018,4.875,38,24,27,113,113,176
2016-06-25,23,21,27,22,23,21,7.6,89,9,1017,48.5,30,22,20,176,356,176
2016-06-26,21,16,14,16,21,21,1,82,8.75,1022,17.125,25,16,18,113,113,176
2016-06-27,21,15,12,15,20,21,2.2,85,10,1022,46.375,24,17,17,113,353,353
2016-06-28,23,18,9,18,21,22,4.4,87,9.625,1021,55.75,27,19,17,122,353,176
2016-06-29,26,18,16,18,25,24,1.3,89,7.875,1016,48.875,27,19,19,119,353,116
2016-06-30,24,17,13,17,22,24,4.3,92,7.625,1017,52.5,27,19,18,266,353,176
