#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2017-03-01,9,7,31,5,9,7,4.6,85,8.25,1009,72.875,9,6,2,263,176,296
2017-03-02,11,7,28,7,10,8,1.2,74,9.5,1020,36.125,11,6,4,293,113,113
2017-03-03,15,6,13,3,12,14,0,74,10,1020,38.375,17,7,4,116,119,113
2017-03-04,13,8,22,5,13,10,1.4,81,9.875,1002,30.125,13,7,7,113,116,116
2017-03-05,10,7,24,5,10,8,4.9,81,9.375,1007,59.75,10,5,3,116,116,296
2017-03-06,9,6,25,5,8,8,8,88,9.25,1008,68.375,9,6,2,176,116,296
2017-03-07,9,5,18,4,8,7,2.2,83,10,1023,85,9,4,2,353,176,353
2017-03-08,8,5,17,2,8,8,6.3,89,8.375,1025,63.875,8,7,2,113,119,296
2017-03-09,12,10,17,10,11,11,18.2,95,8.25,1025,94.5,12,10,9,296,302,296
2017-03-10,13,8,8,6,11,11,0,82,10,1029,18.75,14,8,7,116,113,113
2017-03-11,16,8,8,3,14,15,0,73,10,1028,13.75,17,7,8,113,113,113
2017-03-12,16,8,10,4,14,14,0,74,10,1019,13.875,16,7,8,113,113,113
2017-03-13,14,7,10,3,12,11,0,77,10,1029,10.375,14,5,5,113,113,116
2017-03-14,16,10,8,5,14,15,0,76,10,1033,22.625,18,9,9,113,116,113
2017-03-15,15,9,13,6,13,14,0,86,10,1034,28.875,16,10,9,113,116,116
2017-03-16,21,10,5,5,17,19,0,78,10,1030,4.375,23,11,11,113,113,113
2017-03-17,16,10,21,9,16,10,1.3,81,10,1021,42.375,16,11,8,113,113,353
2017-03-18,10,9,27,8,10,9,14.5,90,8.375,1018,96.5,10,8,6,293,302,296
2017-03-19,14,12,20,11,13,12,2.2,91,8.75,1016,91.75,14,11,10,266,176,122
2017-03-20,14,11,21,9,14,11,0.1,81,10,1016,63.375,14,9,10,122,122,113
2017-03-21,12,9,15,7,11,11,6.4,93,7.5,1014,86.375,12,10,7,122,266,296
2017-03-22,13,7,8,5,10,12,3,81,8.625,1015,82.75,13,7,6,296,119,116
2017-03-23,17,10,17,5,15,15,0,82,10,1015,32.875,17,10,9,113,113,113
2017-03-24,16,10,24,7,14,14,0,87,7,1025,42.75,16,11,8,143,116,116
2017-03-25,15,9,27,5,13,13,0,79,10,1026,12.375,16,7,6,116,113,113
2017-03-26,15,9,13,5,14,14,0,78,10,1023,7.375,15,8,8,113,113,113
2017-03-27,15,6,4,4,11,13,0,69,10,1024,51.875,16,6,6,113,113,113
2017-03-28,19,9,11,5,15,19,1.5,79,10,1025,61.875,19,11,9,113,113,113
2017-03-29,18,9,12,6,16,17,0.3,88,10,1028,65.5,18,9,9,176,113,113
2017-03-30,21,10,5,7,16,20,0,81,18.375,1028,67.75,23,11,10,113,113,113
2017-03-31,21,11,12,8,17,19,0,75,19.625,1022,79.5,21,9,11,116,113,113
