#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-04-01,12,7,14,7,10,10,0.6,88,9,1019,69.375,15,10,7,266,119,113
2016-04-02,18,8,7,3,14,15,0,85,10,1020,24.125,25,13,14,113,113,116
2016-04-03,20,13,11,9,19,18,1,86,9.875,1014,64,20,13,14,113,119,200
2016-04-04,19,16,14,12,19,16,4.4,96,7.75,1011,59.125,20,13,13,266,176,176
2016-04-05,17,11,14,11,17,15,12.7,92,7.375,1011,85.125,17,12,10,266,293,302
2016-04-06,16,9,15,9,15,13,0.5,91,9.875,1015,38.125,17,8,7,113,176,116
2016-04-07,12,9,11,9,12,10,2,89,7.875,1014,70.5,12,7,7,296,176,176
2016-04-08,13,3,9,3,12,11,0,80,10,1014,33.125,14,2,5,116,116,113
2016-04-09,15,3,10,3,14,13,0,73,10,1010,46.625,16,6,6,116,116,116
2016-04-10,17,8,8,8,15,15,0,82,10,1011,19.875,19,9,7,116,113,113
2016-04-11,19,6,9,6,18,17,0,86,10,1012,19.25,21,9,8,113,113,113
2016-04-12,20,10,21,10,18,16,5.9,82,9.625,1011,57.625,21,10,11,113,176,353
2016-04-13,15,8,12,8,12,11,9.5,90,6.875,1011,82,15,10,9,176,296,353
2016-04-14,16,7,15,7,15,14,2.6,89,9.625,1014,38.5,18,9,10,116,353,176
2016-04-15,15,10,19,10,13,13,6.3,90,8.375,1012,68.125,17,10,8,302,176,176
2016-04-16,14,11,23,11,13,13,23.8,92,7.625,1007,80.125,15,11,8,302,266,389
2016-04-17,11,5,13,9,10,5,24,94,7.5,1017,80.375,13,8,5,302,302,119
2016-04-18,13,6,10,6,11,11,0.6,79,9.875,1027,40.125,14,4,5,116,116,113
2016-04-19,14,4,7,4,13,12,0,77,10,1028,8.375,15,7,9,113,113,113
2016-04-20,17,5,24,5,15,14,0,85,10,1029,1.25,17,8,5,113,113,113
2016-04-21,20,5,9,5,17,17,0,75,10,1026,10.5,25,12,8,113,113,113
2016-04-22,19,8,12,8,18,17,0.1,80,10,1019,52.5,20,12,14,116,119,119
2016-04-23,12,5,21,11,11,5,9.7,90,7.25,1014,81.5,14,9,2,176,302,266
2016-04-24,10,2,17,2,8,8,2.7,81,9.875,1015,52.125,10,3,0,113,176,353
2016-04-25,10,3,24,3,7,8,3,85,8.875,1016,75.375,10,5,-2,116,353,296
2016-04-26,8,3,12,3,8,7,4.6,90,8.25,1006,72.5,9,4,2,293,353,353
2016-04-27,10,3,27,3,10,6,3.8,83,9.375,1016,60.625,9,4,-3,116,353,353
2016-04-28,10,2,13,2,9,9,3.2,79,9.5,1019,47.25,13,4,4,296,176,116
2016-04-29,14,2,12,2,13,12,0,72,10,1019,23.75,15,5,6,113,116,113
2016-04-30,17,4,17,4,16,13,11.3,91,9.25,1019,48.125,20,10,9,116,113,302
